Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
411 3rd Ave,Aid Response,4/1/23 8:45,47.601751,-122.330315,POINT (-122.330315 47.601751),F230039469
7813 48th Ave S,Automatic Fire Alarm Resd,4/1/23 8:46,47.532484,-122.272651,POINT (-122.272651 47.532484),F230039470
1700 Airport Way S,Aid Response,4/1/23 8:47,47.588225,-122.321391,POINT (-122.321391 47.588225),F230039471
11030 5th Ave Ne,Aid Response,4/1/23 8:55,47.709488,-122.323301,POINT (-122.323301 47.709488),F230039474
1471 Nw 67th St,Aid Response,4/1/23 8:55,47.677808,-122.37607,POINT (-122.37607 47.677808),F230039473
5444 Delridge Way Sw,Auto Fire Alarm,4/1/23 8:58,47.553321,-122.362969,POINT (-122.362969 47.553321),F230039475
255 S Austin St,Alarm Bell,4/1/23 9:06,47.534865,-122.330752,POINT (-122.330752 47.534865),F230039476
4039 21st Ave W,Nurseline/AMR,4/1/23 9:08,47.656012,-122.383388,POINT (-122.383388 47.656012),F230039477
East Green Lake Dr N / Orin Ct N,Water Rescue Response,4/1/23 9:17,47.683716,-122.33432,POINT (-122.33432 47.683716),F230039479
12501 28th Ave Ne,Medic Response,4/1/23 9:20,47.719292,-122.297803,POINT (-122.297803 47.719292),F230039480
1400 W Ruffner St,Aid Response,4/1/23 9:28,47.652169,-122.3749,POINT (-122.3749 47.652169),F230039482
5th Ave N / Roy St,Illegal Burn,4/1/23 9:31,47.625423,-122.347565,POINT (-122.347565 47.625423),F230039483
1602 15TH AVE W,Fire in Building,4/1/23 9:34,47.633506,-122.376194,POINT (-122.376194 47.633506),F230039485
7241 27th Ave Ne,Aid Response,4/1/23 9:35,47.681008,-122.298542,POINT (-122.298542 47.681008),F230039484
2401 41st Ave E,Aid Response,4/1/23 9:36,47.640712,-122.27959,POINT (-122.27959 47.640712),F230039488
9285 57th Ave S,Aid Response,4/1/23 9:43,47.51939,-122.261597,POINT (-122.261597 47.51939),F230039493
1011 S Weller St,Aid Response,4/1/23 9:51,47.597509,-122.319511,POINT (-122.319511 47.597509),F230039494
1528 3rd Ave,Aid Response,4/1/23 10:02,47.610024,-122.338043,POINT (-122.338043 47.610024),F230039496
4069 Spokane Ln Ne,Aid Response,4/1/23 10:02,47.656288,-122.308075,POINT (-122.308075 47.656288),F230039495
2208 15th Ave W,Auto Fire Alarm,4/1/23 10:10,47.638695,-122.376149,POINT (-122.376149 47.638695),F230039497
747 N 135th St,Automatic Fire Alarm False,4/1/23 10:11,47.726803,-122.347793,POINT (-122.347793 47.726803),F230039498
715 9th Ave,Aid Response,4/1/23 10:13,47.606371,-122.325496,POINT (-122.325496 47.606371),F230039499
6810 49th Ave Ne,Medic Response,4/1/23 10:14,47.677674,-122.275592,POINT (-122.275592 47.677674),F230039500
2030 3rd Ave,Aid Response,4/1/23 10:26,47.612626,-122.341277,POINT (-122.341277 47.612626),F230039502
5500 Phinney Ave N,Medic Response,4/1/23 10:36,47.668431,-122.35441,POINT (-122.35441 47.668431),F230039503
11501 15th Ave Ne,Aid Response,4/1/23 10:39,47.712167,-122.312433,POINT (-122.312433 47.712167),F230039505
9050 SEWARD PARK AVE S,Investigate Out Of Service,4/1/23 10:39,47.521939,-122.264409,POINT (-122.264409 47.521939),F230039508
2000 1st Ave,Aid Response,4/1/23 10:41,47.611068,-122.342612,POINT (-122.342612 47.611068),F230039507
317 Marion St,Aid Response,4/1/23 10:42,47.604991,-122.333174,POINT (-122.333174 47.604991),F230039509
3230 Ne 98th St,4RED - 2 + 1 + 1,4/1/23 10:44,47.700218,-122.293114,POINT (-122.293114 47.700218),F230039511
1901 36th Ave W,Aid Response,4/1/23 10:50,47.635895,-122.403729,POINT (-122.403729 47.635895),F230039512
106 Bellevue Ave E,Aid Response Yellow,4/1/23 10:53,47.618676,-122.326727,POINT (-122.326727 47.618676),F230039513
1200 University St,Aid Response,4/1/23 10:54,47.611943,-122.325987,POINT (-122.325987 47.611943),F230039514
5263 15th Ave Ne,Aid Response,4/1/23 11:09,47.66687,-122.311909,POINT (-122.311909 47.66687),F230039515
Dexter Ave N / Crockett St,Aid Response,4/1/23 11:10,47.63762,-122.343357,POINT (-122.343357 47.63762),F230039516
E Olive Way / E Howell St,Aid Response,4/1/23 11:15,47.617736,-122.326254,POINT (-122.326254 47.617736),F230039517
9021 35th Ave Sw,Aid Response,4/1/23 11:17,47.522671,-122.376706,POINT (-122.376706 47.522671),F230039518
3215 17th Ave S,Nurseline/AMR,4/1/23 11:18,47.574932,-122.311216,POINT (-122.311216 47.574932),F230039520
9006 3rd Ave Nw,Electrical Problem,4/1/23 11:20,47.694285,-122.360677,POINT (-122.360677 47.694285),F230039521
6339 34th Ave Sw,Auto Fire Alarm,4/1/23 11:24,47.546219,-122.375056,POINT (-122.375056 47.546219),F230039524
2040 Nw Market St,1RED 1 Unit,4/1/23 11:29,47.668677,-122.383318,POINT (-122.383318 47.668677),F230039525
1512 3rd Ave W,Medic Response,4/1/23 11:33,47.632459,-122.361022,POINT (-122.361022 47.632459),F230039526
11th Ave Nw / Nw 49th St,Encampment Fire,4/1/23 11:43,47.664387,-122.370765,POINT (-122.370765 47.664387),F230039527
1000 4th Ave,Medic Response,4/1/23 11:45,47.606088,-122.332909,POINT (-122.332909 47.606088),F230039529
531 Ne 112th St,Aid Response,4/1/23 11:55,47.709995,-122.32296,POINT (-122.32296 47.709995),F230039530
3621 33rd Ave S,Aid Response,4/1/23 12:05,47.571408,-122.291001,POINT (-122.291001 47.571408),F230039531
800 Occidental Ave S,EVENT - Special Event,4/1/23 12:08,47.595692,-122.333273,POINT (-122.333273 47.595692),F230039532
9401 Myers Way S,Aid Response,4/1/23 12:11,47.518658,-122.333265,POINT (-122.333265 47.518658),F230039533
Minor Ave / Howell St,Aid Response,4/1/23 12:15,47.61684,-122.330559,POINT (-122.330559 47.61684),F230039534
14010 30th Ave Ne,Automatic Fire Alarm Resd,4/1/23 12:17,47.730201,-122.296539,POINT (-122.296539 47.730201),F230039537
9550 1st Ave Ne,Medic Response,4/1/23 12:17,47.69809,-122.328459,POINT (-122.328459 47.69809),F230039535
3201 Sw Graham St,Medic Response,4/1/23 12:23,47.54666,-122.373219,POINT (-122.373219 47.54666),F230039538
401 Ne Northgate Way,Aid Response,4/1/23 12:28,47.708603,-122.324575,POINT (-122.324575 47.708603),F230039540
Occidental Ave S / S Jackson St,Aid Response,4/1/23 12:32,47.599203,-122.332882,POINT (-122.332882 47.599203),F230039541
13756 Midvale Ave N,Aid Response,4/1/23 12:32,47.729661,-122.343697,POINT (-122.343697 47.729661),F230039542
1811 Eastlake Ave,Medic Response,4/1/23 12:33,47.618002,-122.329182,POINT (-122.329182 47.618002),F230039543
3621 33rd Ave S,Nurseline/AMR,4/1/23 12:36,47.571408,-122.291001,POINT (-122.291001 47.571408),F230039544
4th Ave / Madison St,Aid Response,4/1/23 12:41,47.606088,-122.332909,POINT (-122.332909 47.606088),F230039546
S Graham St / M L King Jr Way S,Aid Response,4/1/23 12:56,47.546057,-122.285631,POINT (-122.285631 47.546057),F230039548
5610 38th Ave Sw,Medic Response,4/1/23 12:56,47.551957,-122.380333,POINT (-122.380333 47.551957),F230039547
2820 Ne 127th St,Medic Response,4/1/23 12:58,47.721101,-122.297581,POINT (-122.297581 47.721101),F230039549
5019 Roosevelt Way Ne,Aid Response,4/1/23 13:00,47.665073,-122.317402,POINT (-122.317402 47.665073),F230039550
4339 Ne 45th St,Medic Response,4/1/23 13:01,47.661281,-122.281298,POINT (-122.281298 47.661281),F230039551
1422 Alaskan Way,Aid Response,4/1/23 13:18,47.607104,-122.341562,POINT (-122.341562 47.607104),F230039554
2401 S Jackson St,Auto Fire Alarm,4/1/23 13:23,47.599288,-122.301125,POINT (-122.301125 47.599288),F230039555
7001 Seaview Ave Nw,Aid Response,4/1/23 13:23,47.679499,-122.405085,POINT (-122.405085 47.679499),F230039556
500 W Mercer St,Aid Response,4/1/23 13:25,47.624607,-122.36324,POINT (-122.36324 47.624607),F230039557
501 Rainier Ave S,1RED 1 Unit,4/1/23 13:25,47.598322,-122.3134,POINT (-122.3134 47.598322),F230039560
111 Ne 45th St,Aid Response,4/1/23 13:26,47.661359,-122.328148,POINT (-122.328148 47.661359),F230039559
Nb Sr99 Tunnel At Tunnel,MVI - Motor Vehicle Incident,4/1/23 13:26,47.595511,-122.335445,POINT (-122.335445 47.595511),F230039561
6TH AVE N / HARRISON ST,Tunnel Standby,4/1/23 13:28,47.622065,-122.345031,POINT (-122.345031 47.622065),F230039562
4137 Sw Ida St,Aid Response,4/1/23 13:28,47.534363,-122.385138,POINT (-122.385138 47.534363),F230039563
3rd Ave / Pike St,Aid Response,4/1/23 13:30,47.60975,-122.337793,POINT (-122.337793 47.60975),F230039564
3641 2nd Ave S,Triaged Incident,4/1/23 13:30,47.571212,-122.332002,POINT (-122.332002 47.571212),F230039570
2870 S Hanford St,Unk Odor,4/1/23 13:30,47.574853,-122.295888,POINT (-122.295888 47.574853),F230039565
3501 Rainier Ave S,Medic Response- 6 per Rule,4/1/23 13:32,47.571853,-122.293193,POINT (-122.293193 47.571853),F230039566
3501 Rainier Ave S,Triaged Incident,4/1/23 13:32,47.571853,-122.293193,POINT (-122.293193 47.571853),F230039568
6801 35th Ave Ne,Aid Response,4/1/23 13:51,47.677599,-122.290325,POINT (-122.290325 47.677599),F230039573
8001 SEAVIEW AVE NW,Water Rescue Response,4/1/23 13:54,47.687663,-122.402666,POINT (-122.402666 47.687663),F230039575
1209 Westlake Ave N,Water Rescue Response,4/1/23 13:57,47.62978,-122.341006,POINT (-122.341006 47.62978),F230039577
Nw Leary Way / 14th Ave Nw,Medic Response,4/1/23 14:00,47.663662,-122.373594,POINT (-122.373594 47.663662),F230039578
2200 E Madison St,Aid Response,4/1/23 14:04,47.61842,-122.30365,POINT (-122.30365 47.61842),F230039579
118 Bell St,Low Acuity Response,4/1/23 14:05,47.613497,-122.346355,POINT (-122.346355 47.613497),F230039580
1316 Bradner Pl S,Aid Response,4/1/23 14:09,47.591812,-122.296037,POINT (-122.296037 47.591812),F230039583
6th Ave / Seneca St,Aid Response,4/1/23 14:11,47.608444,-122.331995,POINT (-122.331995 47.608444),F230039584
4th Ave / Bell St,Aid Response,4/1/23 14:12,47.615369,-122.343934,POINT (-122.343934 47.615369),F230039585
2208 15th Ave W,Aid Response,4/1/23 14:13,47.638695,-122.376149,POINT (-122.376149 47.638695),F230039586
East Marginal Way S / S Michigan St,MVI - Motor Vehicle Incident,4/1/23 14:13,47.544881,-122.331306,POINT (-122.331306 47.544881),F230039587
954 E Union St,Water Job Minor,4/1/23 14:15,47.612943,-122.319822,POINT (-122.319822 47.612943),F230039589
520 S Cloverdale St,Aid Response,4/1/23 14:17,47.52648,-122.327935,POINT (-122.327935 47.52648),F230039591
1715 Nw 59th St,Aid Response,4/1/23 14:17,47.671633,-122.379034,POINT (-122.379034 47.671633),F230039590
6041 41st Ave Sw,Medic Response- 7 per Rule,4/1/23 14:19,47.548207,-122.384389,POINT (-122.384389 47.548207),F230039594
11556 6th Ave Nw,Aid Response,4/1/23 14:22,47.713542,-122.363566,POINT (-122.363566 47.713542),F230039595
3537 Sw 98th St,Aid Response,4/1/23 14:25,47.515607,-122.37712,POINT (-122.37712 47.515607),F230039596
5311 Phinney Ave N,Aid Response,4/1/23 14:27,47.667143,-122.35442,POINT (-122.35442 47.667143),F230039597
1401 2nd Ave,Aid Response,4/1/23 14:31,47.608292,-122.337995,POINT (-122.337995 47.608292),F230039598
548 15th Ave,Medic Response,4/1/23 14:36,47.606628,-122.312857,POINT (-122.312857 47.606628),F230039600
Rainier Ave S / S Mcclellan St,Aid Response,4/1/23 14:43,47.57835,-122.298151,POINT (-122.298151 47.57835),F230039602
2015 2nd Ave,Rescue Elevator,4/1/23 14:45,47.611843,-122.341939,POINT (-122.341939 47.611843),F230039603
900 Poplar Pl S,Aid Response,4/1/23 14:47,47.594759,-122.312014,POINT (-122.312014 47.594759),F230039604
5745 Ne 63rd St,Medic Response,4/1/23 14:57,47.674281,-122.264888,POINT (-122.264888 47.674281),F230039605
7705 15th Ave Sw,Aid Response,4/1/23 14:58,47.53364,-122.353915,POINT (-122.353915 47.53364),F230039606
500 5th Ave,Aid Response,4/1/23 14:58,47.602985,-122.328535,POINT (-122.328535 47.602985),F230039607
3512 S Juneau St,Aid Response,4/1/23 15:03,47.549772,-122.288795,POINT (-122.288795 47.549772),F230039608
2416 N 45th St,Natural Gas Odor,4/1/23 15:08,47.661368,-122.329967,POINT (-122.329967 47.661368),F230039609
5234 Mithun Pl Ne,Medic Response,4/1/23 15:10,47.667762,-122.280978,POINT (-122.280978 47.667762),F230039610
14303 Aurora Ave N,Low Acuity Response,4/1/23 15:18,47.732341,-122.345077,POINT (-122.345077 47.732341),F230039611
2543 Rainier Ave S,Aid Response,4/1/23 15:31,47.58061,-122.299874,POINT (-122.299874 47.58061),F230039612
500 5th Ave,Aid Response,4/1/23 15:31,47.602985,-122.328535,POINT (-122.328535 47.602985),F230039613
525 14th Ave E,Auto Fire Alarm,4/1/23 15:33,47.623391,-122.314649,POINT (-122.314649 47.623391),F230039614
914 E Jefferson St,Triaged Incident,4/1/23 15:34,47.606212,-122.320559,POINT (-122.320559 47.606212),F230039616
5811 56th Ave Ne,Low Acuity Response,4/1/23 15:34,47.670407,-122.268048,POINT (-122.268048 47.670407),F230039615
4755 Fauntleroy Way Sw,Medic Response,4/1/23 15:37,47.560074,-122.381457,POINT (-122.381457 47.560074),F230039617
3621 33rd Ave S,Low Acuity Response,4/1/23 15:40,47.571408,-122.291001,POINT (-122.291001 47.571408),F230039618
914 E Jefferson St,Aid Response,4/1/23 15:46,47.606212,-122.320559,POINT (-122.320559 47.606212),F230039619
4th Ave / Pike St,Aid Response,4/1/23 15:49,47.610214,-122.336683,POINT (-122.336683 47.610214),F230039620
325 9th Ave,Auto Fire Alarm,4/1/23 15:52,47.603588,-122.322949,POINT (-122.322949 47.603588),F230039621
334 1st Ave N,EVENT - Special Event,4/1/23 15:54,47.621329,-122.355431,POINT (-122.355431 47.621329),F230039622
7315 22nd Ave Nw,Aid Response,4/1/23 15:57,47.681451,-122.384305,POINT (-122.384305 47.681451),F230039623
1215 Dexter Ave N,Aid Response,4/1/23 15:59,47.629844,-122.342303,POINT (-122.342303 47.629844),F230039624
12508 Lake City Way Ne,Auto Fire Alarm,4/1/23 16:00,47.719343,-122.295195,POINT (-122.295195 47.719343),F230039625
Greenwood Ave N / N 107th St,MVI - Motor Vehicle Incident,4/1/23 16:01,47.706899,-122.355467,POINT (-122.355467 47.706899),F230039626
29th Ave Sw / Sw Thistle St,MVI Medic,4/1/23 16:03,47.528282,-122.369899,POINT (-122.369899 47.528282),F230039627
1250 1st Ave S,EVENT - Special Event,4/1/23 16:08,47.592049,-122.334195,POINT (-122.334195 47.592049),F230039630
8630 Rainier Ave S,4RED - 2 + 1 + 1,4/1/23 16:09,47.525954,-122.269983,POINT (-122.269983 47.525954),F230039631
2511 10th Ave W,Aid Response,4/1/23 16:10,47.641024,-122.370076,POINT (-122.370076 47.641024),F230039633
1419 2nd Ave W,Medic Response,4/1/23 16:15,47.631501,-122.359202,POINT (-122.359202 47.631501),F230039634
